Champions Tour 2024: China Kickoff,All Stages,whzy,Bilibili Gaming,0.85,0.74,5
Champions Tour 2024: China Kickoff,All Stages,Rb,Titan Esports Club,0.84,0.7,6
Champions Tour 2024: China Kickoff,All Stages,FengF,Trace Esports,0.84,0.71,7
Champions Tour 2024: China Kickoff,All Stages,Life,FunPlus Phoenix,0.84,0.74,8
Champions Tour 2024: China Kickoff,All Stages,Kai,Trace Esports,0.82,0.65,9
Champions Tour 2024: China Kickoff,All Stages,GuanG,Nova Esports,0.82,0.8,10
Champions Tour 2024: China Stage 1,All Stages,ZmjjKK,EDward Gaming,0.98,0.73,1
Champions Tour 2024: China Stage 1,All Stages,whzy,Bilibili Gaming,0.86,0.75,2
Champions Tour 2024: China Stage 1,All Stages,vo0kashu,Dragon Ranger Gaming,0.85,0.71,3
Champions Tour 2024: China Stage 1,All Stages,jkuro,JDG Esports,0.84,0.7,4
Champions Tour 2024: China Stage 1,All Stages,Life,FunPlus Phoenix,0.84,0.75,5
Champions Tour 2024: China Stage 1,All Stages,FengF,Trace Esports,0.83,0.71,6
Champions Tour 2024: China Stage 1,All Stages,SWERL,Nova Esports,0.82,0.75,7
Champions Tour 2024: China Stage 1,All Stages,Lysoar,FunPlus Phoenix,0.81,0.6,8
Champions Tour 2024: China Stage 1,All Stages,AAK,TYLOO,0.8,0.72,9
Champions Tour 2024: China Stage 1,All Stages,deLb,All Gamers,0.79,0.68,10
Champions Tour 2024: China Stage 2,All Stages,vo0kashu,Dragon Ranger Gaming,0.93,0.7,1
Champions Tour 2024: China Stage 2,All Stages,Yuicaw,Wolves Esports,0.92,0.71,2
Champions Tour 2024: China Stage 2,All Stages,ZmjjKK,EDward Gaming,0.91,0.73,3
Champions Tour 2024: China Stage 2,All Stages,Ninebody,TYLOO,0.87,0.73,4
Champions Tour 2024: China Stage 2,All Stages,stew,JDG Esports,0.85,0.62,5
Champions Tour 2024: China Stage 2,All Stages,Kai,Trace Esports,0.81,0.72,6
Champions Tour 2024: China Stage 2,All Stages,whzy,Bilibili Gaming,0.8,0.75,7
Champions Tour 2024: China Stage 2,All Stages,Spitfires,All Gamers,0.8,0.77,8
Champions Tour 2024: China Stage 2,All Stages,Spring,Wolves Esports,0.79,0.78,9
Champions Tour 2024: China Stage 2,All Stages,GuanG,Nova Esports,0.78,0.7,10
Champions Tour 2024: EMEA Kickoff,All Stages,TakaS,Gentle Mates,0.92,0.74,1
Champions Tour 2024: EMEA Kickoff,All Stages,ardiis,Natus Vincere,0.9,0.73,2
Champions Tour 2024: EMEA Kickoff,All Stages,N4RRATE,Karmine Corp,0.89,0.7,3
Champions Tour 2024: EMEA Kickoff,All Stages,MiniBoo,Team Heretics,0.88,0.73,4
Champions Tour 2024: EMEA Kickoff,All Stages,Zyppan,Natus Vincere,0.86,0.7,5
Champions Tour 2024: EMEA Kickoff,All Stages,marteen,Karmine Corp,0.84,0.69,6
Champions Tour 2024: EMEA Kickoff,All Stages,Cloud,GIANTX,0.84,0.72,7
Champions Tour 2024: EMEA Kickoff,All Stages,Alfajer,FNATIC,0.83,0.66,8
Champions Tour 2024: EMEA Kickoff,All Stages,Keiko,Team Liquid,0.83,0.67,9
Champions Tour 2024: EMEA Kickoff,All Stages,Sayf,Team Vitality,0.77,0.63,10
Champions Tour 2024: EMEA Kickoff,All Stages,AtaKaptan,FUT Esports,0.77,0.63,10
Champions Tour 2024: EMEA Stage 1,All Stages,cNed,FUT Esports,0.85,0.68,1
Champions Tour 2024: EMEA Stage 1,All Stages,nataNk,Gentle Mates,0.83,0.76,2
Champions Tour 2024: EMEA Stage 1,All Stages,Keiko,Team Liquid,0.81,0.73,3
Champions Tour 2024: EMEA Stage 1,All Stages,Elite,BBL Esports,0.8,0.61,4
Champions Tour 2024: EMEA Stage 1,All Stages,Sayf,Team Vitality,0.8,0.68,5
Champions Tour 2024: EMEA Stage 1,All Stages,benjyfishy,Team Heretics,0.79,0.63,6
Champions Tour 2024: EMEA Stage 1,All Stages,QutionerX,BBL Esports,0.79,0.79,7
Champions Tour 2024: EMEA Stage 1,All Stages,Derke,FNATIC,0.78,0.73,8
Champions Tour 2024: EMEA Stage 1,All Stages,MiniBoo,Team Heretics,0.78,0.76,9
Champions Tour 2024: EMEA Stage 1,All Stages,nAts,Team Liquid,0.77,0.67,10
Champions Tour 2024: EMEA Stage 1,All Stages,Alfajer,FNATIC,0.77,0.67,10
Champions Tour 2024: EMEA Stage 2,All Stages,Derke,FNATIC,0.87,0.69,1
Champions Tour 2024: EMEA Stage 2,All Stages,Sayf,Team Vitality,0.86,0.69,2
Champions Tour 2024: EMEA Stage 2,All Stages,kamo,KOI,0.83,0.76,3
Champions Tour 2024: EMEA Stage 2,All Stages,N4RRATE,Karmine Corp,0.82,0.73,4
Champions Tour 2024: EMEA Stage 2,All Stages,QutionerX,BBL Esports,0.82,0.76,5
Champions Tour 2024: EMEA Stage 2,All Stages,Alfajer,FNATIC,0.81,0.63,6
Champions Tour 2024: EMEA Stage 2,All Stages,cNed,FUT Esports,0.78,0.74,7
Champions Tour 2024: EMEA Stage 2,All Stages,sheydos,KOI,0.77,0.58,8
Champions Tour 2024: EMEA Stage 2,All Stages,grubinho,KOI,0.77,0.6,9
Champions Tour 2024: EMEA Stage 2,All Stages,nataNk,Gentle Mates,0.77,0.7,10
Champions Tour 2024: Masters Madrid,All Stages,zekken,Sentinels,0.9,0.75,1
Champions Tour 2024: Masters Madrid,All Stages,MiniBoo,Team Heretics,0.88,0.71,2
Champions Tour 2024: Masters Madrid,All Stages,ZmjjKK,EDward Gaming,0.88,0.81,3
Champions Tour 2024: Masters Madrid,All Stages,N4RRATE,Karmine Corp,0.84,0.66,4
Champions Tour 2024: Masters Madrid,All Stages,Life,FunPlus Phoenix,0.83,0.79,5
Champions Tour 2024: Masters Madrid,All Stages,Meteor,Gen.G,0.82,0.72,6
Champions Tour 2024: Masters Madrid,All Stages,t3xture,Gen.G,0.8,0.75,7
Champions Tour 2024: Masters Madrid,All Stages,RieNs,Team Heretics,0.79,0.69,8
Champions Tour 2024: Masters Madrid,All Stages,Autumn,FunPlus Phoenix,0.79,0.83,9
Champions Tour 2024: Masters Madrid,All Stages,Less,LOUD,0.78,0.59,10
Champions Tour 2024: Masters Shanghai,All Stages,Wo0t,Team Heretics,0.87,0.72,1
Champions Tour 2024: Masters Shanghai,All Stages,Derke,FNATIC,0.86,0.74,2
Champions Tour 2024: Masters Shanghai,All Stages,t3xture,Gen.G,0.85,0.7,3
Champions Tour 2024: Masters Shanghai,All Stages,aspas,LEVIATÁN,0.85,0.72,4
Champions Tour 2024: Masters Shanghai,All Stages,Meteor,Gen.G,0.84,0.69,5
Champions Tour 2024: Masters Shanghai,All Stages,Smoggy,EDward Gaming,0.82,0.74,6
Champions Tour 2024: Masters Shanghai,All Stages,Life,FunPlus Phoenix,0.82,0.82,7
Champions Tour 2024: Masters Shanghai,All Stages,something,Paper Rex,0.81,0.72,8
Champions Tour 2024: Masters Shanghai,All Stages,ZmjjKK,EDward Gaming,0.81,0.88,9
Champions Tour 2024: Masters Shanghai,All Stages,nizhaoTZH,Dragon Ranger Gaming,0.79,0.75,10
Champions Tour 2024: Pacific Kickoff,All Stages,t3xture,Gen.G,0.9,0.7,1
Champions Tour 2024: Pacific Kickoff,All Stages,Jremy,Team Secret,0.9,0.72,2
Champions Tour 2024: Pacific Kickoff,All Stages,Jemkin,Rex Regum Qeon,0.87,0.74,3
Champions Tour 2024: Pacific Kickoff,All Stages,Dep,ZETA DIVISION,0.87,0.75,4
Champions Tour 2024: Pacific Kickoff,All Stages,Meiy,DetonatioN FocusMe,0.87,0.79,5
Champions Tour 2024: Pacific Kickoff,All Stages,Governor,Talon Esports,0.84,0.73,6
Champions Tour 2024: Pacific Kickoff,All Stages,JitBoyS,Talon Esports,0.83,0.66,7
Champions Tour 2024: Pacific Kickoff,All Stages,xccurate,T1,0.83,0.67,8
Champions Tour 2024: Pacific Kickoff,All Stages,Sayaplayer,T1,0.82,0.64,9
Champions Tour 2024: Pacific Kickoff,All Stages,invy,Team Secret,0.8,0.64,10
Champions Tour 2024: Pacific Stage 1,All Stages,Jemkin,Rex Regum Qeon,0.85,0.68,1
Champions Tour 2024: Pacific Stage 1,All Stages,t3xture,Gen.G,0.84,0.7,2
Champions Tour 2024: Pacific Stage 1,All Stages,Meiy,DetonatioN FocusMe,0.83,0.8,3
Champions Tour 2024: Pacific Stage 1,All Stages,something,Paper Rex,0.82,0.68,4
Champions Tour 2024: Pacific Stage 1,All Stages,Jremy,Team Secret,0.82,0.74,5
Champions Tour 2024: Pacific Stage 1,All Stages,Dep,ZETA DIVISION,0.82,0.74,5
Champions Tour 2024: Pacific Stage 1,All Stages,Jinggg,Paper Rex,0.81,0.7,7
Champions Tour 2024: Pacific Stage 1,All Stages,Lmemore,Rex Regum Qeon,0.79,0.75,8
Champions Tour 2024: Pacific Stage 1,All Stages,sScary,BLEED,0.78,0.7,9
Champions Tour 2024: Pacific Stage 1,All Stages,BuZz,DRX,0.78,0.73,10
Champions Tour 2024: Pacific Stage 2,All Stages,Meiy,DetonatioN FocusMe,0.91,0.81,1
Champions Tour 2024: Pacific Stage 2,All Stages,primmie,Talon Esports,0.91,0.86,2
Champions Tour 2024: Pacific Stage 2,All Stages,iZu,T1,0.88,0.73,3
Champions Tour 2024: Pacific Stage 2,All Stages,Sayaplayer,T1,0.85,0.62,4
Champions Tour 2024: Pacific Stage 2,All Stages,BuZz,DRX,0.84,0.74,5
Champions Tour 2024: Pacific Stage 2,All Stages,t3xture,Gen.G,0.82,0.69,6
Champions Tour 2024: Pacific Stage 2,All Stages,Jemkin,Rex Regum Qeon,0.8,0.65,7
Champions Tour 2024: Pacific Stage 2,All Stages,f0rsakeN,Paper Rex,0.8,0.68,8
Champions Tour 2024: Pacific Stage 2,All Stages,Polvi,Global Esports,0.79,0.83,9
Champions Tour 2024: Pacific Stage 2,All Stages,Karon,Gen.G,0.78,0.62,10
Valorant Champions 2024,All Stages,Derke,FNATIC,0.92,0.69,1
Valorant Champions 2024,All Stages,Meteor,Gen.G,0.9,0.68,2
Valorant Champions 2024,All Stages,zekken,Sentinels,0.89,0.76,3
Valorant Champions 2024,All Stages,primmie,Talon Esports,0.88,0.67,4
Valorant Champions 2024,All Stages,ZmjjKK,EDward Gaming,0.88,0.73,5
Valorant Champions 2024,All Stages,t3xture,Gen.G,0.84,0.71,6
Valorant Champions 2024,All Stages,keznit,KRÜ Esports,0.83,0.72,7
Valorant Champions 2024,All Stages,BuZz,DRX,0.83,0.75,8
Valorant Champions 2024,All Stages,yetujey,FUT Esports,0.82,0.72,9
Valorant Champions 2024,All Stages,trexx,Team Vitality,0.81,0.66,10
